Date,Company Name,Position,External Job Link,HR Name,HR Profile Link
6/4/2026,Alignerr,Machine Learning Engineer,https://www.alignerr.com/jobs/8c83f324-3d7d-4db0-a23b-4ab33ce85304?referral-source=linkedin-job,,
6/4/2026,DataAnnotation,QA Automation Developer - AI Trainer,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_source=linkedin&utm_medium=listing&utm_campaign=coder_swe&utm_adgroup=qa_automation_developer_ai_trainer&utm_content=australia&jt=QA%20Automation%20Developer%20-%20AI%20Trainer,,
6/4/2026,Insignia Financial,Software Engineer,https://careers.insigniafinancial.com.au/job/SYDNEY-Software-Engineer-NSW-2000/1356363466/,,
6/4/2026,NAB,Analyst Engineer,https://secure.dc2.pageuppeople.com/apply/410/aaw/applicationForm/initApplication.asp?lJobID=806632&sLanguage=en&sSourcePointer=aaw&lJobSourceTypeID=885,,
6/4/2026,DataAnnotation,JavaScript Developer - AI Trainer,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_source=linkedin&utm_medium=listing&utm_campaign=coder_swe&utm_adgroup=javascript_developer_ai_trainer&utm_content=australia&jt=JavaScript%20Developer%20-%20AI%20Trainer,,
6/4/2026,DataAnnotation,Build & Release Engineer - AI Trainer,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_source=linkedin&utm_medium=listing&utm_campaign=coder_swe&utm_adgroup=build_release_engineer_ai_trainer&utm_content=australia&jt=Build%20%26%20Release%20Engineer%20-%20AI%20Trainer,,
6/4/2026,DataAnnotation,iOS Software Engineer - AI Trainer,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_source=linkedin&utm_medium=listing&utm_campaign=coder_swe&utm_adgroup=ios_software_engineer_ai_trainer&utm_content=australia&jt=iOS%20Software%20Engineer%20-%20AI%20Trainer,,
6/4/2026,DataAnnotation,Test Automation Engineer - AI Trainer,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_source=linkedin&utm_medium=listing&utm_campaign=coder_swe&utm_adgroup=test_automation_engineer_ai_trainer&utm_content=australia&jt=Test%20Automation%20Engineer%20-%20AI%20Trainer,,
6/4/2026,DataAnnotation,iOS Application Developer - AI Trainer,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_source=linkedin&utm_medium=listing&utm_campaign=coder_swe&utm_adgroup=ios_application_developer_ai_trainer&utm_content=australia&jt=iOS%20Application%20Developer%20-%20AI%20Trainer,,
6/4/2026,DataAnnotation,Contract Full Stack Developer - AI Trainer,https://app.dataannotation.tech/worker_signup?projects=PROG_SA&worker_src=L&utm_source=linkedin&utm_medium=listing&utm_campaign=coder_swe&utm_adgroup=contract_full_stack_developer_ai_trainer&utm_content=australia&jt=Contract%20Full%20Stack%20Developer%20-%20AI%20Trainer,,
